地域,保育園名,,所在地,定員,０歳,,１歳,,２歳,,３歳,,４歳,,５歳,
,,,,,応 募,内 定,応 募,内 定,応 募,内 定,応 募,内 定,応 募,内 定,応 募,内 定
"堺
地
域",市立こうさぎ保育園,,相原町792,96,16,6,17,4,14,2,16,8,3,3,1,1
,クローバー保育園,,相原町3338-1,84,7,5,13,7,3,3,5,1,1,0,1,0
,かえで保育園,,小山町775,100,21,9,22,4,8,2,4,1,0,0,0,0
,小山保育園,,小山町954,140,26,8,22,10,14,6,6,1,0,0,0,0
,多摩境敬愛保育園,,小山町4464,80,29,9,35,1,13,2,13,4,0,0,3,0
,"サンフィール
保育園",本園,小山町4604-2,124,29,6,33,8,18,6,17,1,1,0,2,0
,,分園,小山町3166-1,16,,,26,8,4,0,,,,,,
,もみの木保育園,,小山ヶ丘1-3-2,100,10,3,15,9,5,2,3,1,0,0,0,0
,敬愛桃の実保育園,,小山ヶ丘3-28,30,12,3,22,7,3,1,,,,,,
,かりん保育園,,小山ヶ丘1-10-2,90,12,3,20,7,3,0,8,4,0,0,0,0
"忠
生
地
域",桜台保育園,,小山田桜台1-18,88,14,8,13,3,5,2,4,1,0,0,0,0
,"ひかりの子
保育園",本園,木曽西1-34-1,106,7,0,25,4,3,1,2,1,1,1,0,0
,,分園,木曽西3-9-7,23,12,7,18,6,,,,,,,,
,アスク木曽西保育園,,木曽西3-18-2,50,,,33,10,4,0,0,0,1,0,0,0
,第二わかくさ保育園,,木曽西5-1-1,53,,,30,7,1,0,2,1,0,0,0,0
,すずらん保育園,,木曽東2-3-22,30,,,12,6,0,0,0,0,0,0,0,0
,すみれ保育園,,木曽東2-8-1,110,23,9,34,7,11,5,8,3,1,1,0,0
,木曽保育園,,木曽東4-13-7,80,24,6,35,8,14,1,3,1,0,0,0,0
,しぜんの国保育園,,忠生2-5-3,156,35,18,48,8,24,7,4,1,3,2,0,0
,子どもの森保育園,,常盤町2970-1,99,15,4,29,9,3,1,3,1,0,0,0,0
,こっこのもり保育園,,常盤町3028-3,37,9,3,23,8,6,2,,,,,,
,町田ときわ保育園,,常盤町3465-1,110,22,8,23,6,10,4,3,0,2,0,0,0
,まなざし保育園,,根岸1-2-3,110,13,6,13,6,4,3,1,0,0,0,0,0
,市立山崎保育園,,山崎町1-2-14,108,27,6,46,9,5,1,6,1,0,0,1,0
,ユニケ保育園,,山崎町457,78,9,1,17,3,5,2,1,0,0,0,0,0
,たかね第二保育園,,山崎町1540-3,131,25,9,30,8,5,0,2,0,0,0,0,0
,たかね保育園,,山崎町2160-4,159,26,11,28,12,17,2,0,0,0,0,0,0
,カナリヤ保育園,,山崎町2130,39,,,32,18,12,3,,,,,,
"町
田
地
域",玉川さくら保育園,,玉川学園3-35-48,67,30,9,34,1,14,2,8,2,2,2,0,0
,未来保育ＣＬＵＢ,,"中町1-31-4
NTT町田ビル1F",80,36,6,30,9,14,5,12,2,1,1,1,0
,こひつじ保育園,,原町田2-11-5,115,32,9,33,8,18,3,19,4,0,0,0,0
,なごみ第二保育園,,原町田3-19-6,100,20,6,24,9,14,4,4,1,1,0,0,0
,なごみ保育園,,原町田5-1-5,87,46,6,42,9,4,0,13,2,1,0,0,0
,太陽の子町田駅前保育園,,"原町田6-17-8
クオーレ1階",39,33,9,52,6,1,0,,,,,,
,市立町田保育園,,原町田6-26-15,79,79,6,36,1,25,4,29,8,2,0,1,1
,赤ちゃんの家保育園,,原町田6-27-10,87,89,12,79,3,5,1,15,0,0,0,1,0
,本町田わかくさ保育園,,本町田29-8,70,,,46,10,16,5,7,0,1,0,0,0
,わかば保育園,,本町田2591-20,105,27,9,27,7,11,5,1,0,0,0,0,0
,草笛保育園,,藤の台1-1-56,120,25,9,38,6,18,7,2,1,1,1,0,0
,開進こども保育園,,本町田3350-38,50,,,53,24,17,3,,,,,,
